"","Daniorerio","Campylomormyruscompressirostris"
"10511","frem1a","maker-ptg000148l-augustus-gene-21.14-mRNA-1"
"10514","LOC570526","maker-ptg000047l-augustus-gene-7.3-mRNA-1"
"10517","sec24d","maker-ptg000314l-snap-gene-2.5-mRNA-1"
"10518","kcnip4a","maker-ptg000047l-augustus-gene-7.0-mRNA-1"
"10519","adgra3","maker-ptg000047l-augustus-gene-6.0-mRNA-1"
"10522","gba3","maker-ptg000047l-augustus-gene-5.0-mRNA-1"
"10530","ccdc149a","maker-ptg002632l-snap-gene-4.32-mRNA-1"
"10537","sepsecs","maker-ptg000047l-augustus-gene-1.8-mRNA-1"
"10538","aco1","maker-ptg000148l-snap-gene-21.50-mRNA-1"
"10539","LOC100331330","maker-ptg000148l-snap-gene-21.47-mRNA-1"
"10540","ppp1r15a","maker-ptg002632l-snap-gene-3.135-mRNA-1"
"10542","tyms","maker-ptg001430l-augustus-gene-0.44-mRNA-1"
"10543","enosf1","maker-ptg001430l-snap-gene-0.36-mRNA-1"
"10545","adcyap1a","maker-ptg001479l-augustus-gene-0.6-mRNA-1"
"10546","mettl4","maker-ptg001479l-snap-gene-1.76-mRNA-1"
"10549","myom1b","maker-ptg000193l-snap-gene-2.47-mRNA-1"
"10550","myl12.1","maker-ptg000193l-snap-gene-2.60-mRNA-1"
"10551","nsun6","maker-ptg000382l-augustus-gene-11.3-mRNA-1"
"10552","cacnb2a","maker-ptg000382l-snap-gene-11.78-mRNA-1"
"10553","lrp4","snap_masked-ptg000171l-processed-gene-15.3-mRNA-1"
"10555","psmd9","maker-ptg001104l-snap-gene-7.64-mRNA-1"
"10556","ywhae2","maker-ptg000218l-snap-gene-11.172-mRNA-1"
"10557","LOC101886560","maker-ptg002443l-augustus-gene-15.7-mRNA-1"
"10558","sipa1","maker-ptg001461l-snap-gene-4.171-mRNA-1"
"10559","LOC797658","maker-ptg000170l-augustus-gene-30.10-mRNA-1"
"10560","slc35c1","maker-ptg000171l-snap-gene-13.20-mRNA-1"
"10561","tollip","snap_masked-ptg000465l-processed-gene-5.205-mRNA-1"
"10569","LOC101885160","maker-ptg000243l-augustus-gene-6.141-mRNA-1"
"10571","hectd4","snap_masked-ptg001104l-processed-gene-4.92-mRNA-1"
"10573","mapk8ip1b","maker-ptg000171l-augustus-gene-13.15-mRNA-1"
"10577","LOC101882941","maker-ptg000047l-augustus-gene-23.1-mRNA-1"
"10580","LOC137496083","maker-ptg000047l-snap-gene-25.13-mRNA-1"
"10581","LOC100332841","maker-ptg000047l-snap-gene-29.7-mRNA-1"
"10582","si_cabz01083442.1","snap_masked-ptg000047l-processed-gene-26.39-mRNA-1"
"10586","arhgef40","maker-ptg000021l-augustus-gene-9.33-mRNA-1"
"10587","znf219","maker-ptg000021l-snap-gene-8.40-mRNA-1"
"10588","btr12","maker-ptg000021l-augustus-gene-8.10-mRNA-1"
"10593","casq1b","maker-ptg000021l-augustus-gene-6.30-mRNA-1"
"10594","pea15","maker-ptg001156l-augustus-gene-8.6-mRNA-1"
"10598","LOC100148591","snap_masked-ptg000329l-processed-gene-3.9-mRNA-1"
"10602","zgc_92594","maker-ptg000021l-snap-gene-6.2-mRNA-1"
"10603","caap1","maker-ptg000047l-augustus-gene-13.6-mRNA-1"
"10609","LOC103911449","maker-ptg000047l-augustus-gene-17.50-mRNA-1"
"10610","tyrp1a","snap_masked-ptg000047l-processed-gene-21.0-mRNA-1"
"10611","cldnd1a","maker-ptg000021l-augustus-gene-38.74-mRNA-1"
"10615","tmed7","maker-ptg000576l-augustus-gene-4.85-mRNA-1"
"10619","ccdc112","maker-ptg000576l-augustus-gene-4.89-mRNA-1"
"10621","hsd17b4","snap_masked-ptg000576l-processed-gene-1.9-mRNA-1"
"10622","slc13a3","maker-ptg000379l-snap-gene-1.21-mRNA-1"
"10628","prr16","maker-ptg000576l-snap-gene-3.47-mRNA-1"
"10629","ocstamp","snap_masked-ptg000379l-processed-gene-1.33-mRNA-1"
"10631","mapk14a","maker-ptg000237l-snap-gene-5.70-mRNA-1"
"10634","ercc8","maker-ptg000349l-augustus-gene-0.18-mRNA-1"
"10635","sncaip","maker-ptg000576l-augustus-gene-3.3-mRNA-1"
"10636","alas2","maker-ptg000039l-snap-gene-7.191-mRNA-1"
"10637","adamts13","maker-ptg000552l-augustus-gene-3.36-mRNA-1"
"10639","srpk1a","maker-ptg000085l-snap-gene-21.36-mRNA-1"
"10640","ela2l","maker-ptg000281l-augustus-gene-9.40-mRNA-1"
"10641","sema3bl","maker-ptg000168l-snap-gene-5.56-mRNA-1"
"10642","aldh9a1a.1","maker-ptg000744l-snap-gene-3.43-mRNA-1"
"10643","fhad1","maker-ptg000281l-snap-gene-9.14-mRNA-1"
"10646","tmco1","maker-ptg000744l-augustus-gene-3.147-mRNA-1"
"10648","snx2","maker-ptg000576l-snap-gene-3.29-mRNA-1"
"10651","smarcb1a","maker-ptg001534l-augustus-gene-0.5-mRNA-1"
"10653","magoh","maker-ptg000744l-augustus-gene-3.181-mRNA-1"
"10654","sypa","snap_masked-ptg001236l-processed-gene-16.16-mRNA-1"
"10655","LOC100329477","maker-ptg001432l-snap-gene-8.47-mRNA-1"
"10656","LOC101883956","maker-ptg001475l-snap-gene-2.4-mRNA-1"
"10657","spryd4","maker-ptg001004l-augustus-gene-2.9-mRNA-1"
"10662","znf608","maker-ptg001288l-augustus-gene-5.15-mRNA-1"
"10665","cep120","maker-ptg001288l-snap-gene-5.132-mRNA-1"
"10666","lamtor5","maker-ptg000442l-augustus-gene-39.18-mRNA-1"
"10668","upb1","maker-ptg001534l-augustus-gene-1.7-mRNA-1"
"10670","si_ch211-150o23.2","maker-ptg000135l-snap-gene-78.49-mRNA-1"
"10671","rbm15","snap_masked-ptg000442l-processed-gene-40.25-mRNA-1"
"10678","pym1","maker-ptg000379l-snap-gene-5.67-mRNA-1"
"10679","trim36","maker-ptg000576l-snap-gene-4.66-mRNA-1"
"10680","pggt1b","maker-ptg000576l-snap-gene-4.62-mRNA-1"
"10681","si_ch211-87m7.1","snap_masked-ptg001288l-processed-gene-4.84-mRNA-1"
"10682","fem1c","maker-ptg000576l-snap-gene-4.55-mRNA-1"
"10683","slc12a2l","maker-ptg000610l-snap-gene-8.45-mRNA-1"
"10684","diras2","snap_masked-ptg001288l-processed-gene-5.46-mRNA-1"
"10686","gramd2b","maker-ptg001432l-snap-gene-10.96-mRNA-1"
"10688","nudt12","maker-ptg001288l-snap-gene-5.155-mRNA-1"
"10691","LOC103911612","maker-ptg001288l-snap-gene-5.100-mRNA-1"
"10692","LOC103911612","maker-ptg001288l-snap-gene-5.100-mRNA-1"
"10693","zgc_101664","maker-ptg001288l-snap-gene-5.152-mRNA-1"
"10694","pik3r1","maker-ptg001180l-snap-gene-4.0-mRNA-1"
"10695","apc","maker-ptg001288l-augustus-gene-5.0-mRNA-1"
"10696","srp19","maker-ptg001288l-snap-gene-4.48-mRNA-1"
"10697","LOC100329294","maker-ptg001288l-snap-gene-4.0-mRNA-1"
"10698","mfsd14bb","maker-ptg000102l-augustus-gene-56.11-mRNA-1"
"10700","spin1","maker-ptg001288l-snap-gene-4.34-mRNA-1"
"10702","LOC794598","maker-ptg001288l-snap-gene-4.21-mRNA-1"
"10705","loxhd1b","snap_masked-ptg000102l-processed-gene-53.1-mRNA-1"
"10706","cttnbp2nlb","maker-ptg000172l-augustus-gene-2.9-mRNA-1"
"10708","map1b","maker-ptg001288l-augustus-gene-4.100-mRNA-1"
"10709","mrps27","maker-ptg001288l-augustus-gene-3.6-mRNA-1"
"10710","znf366","maker-ptg000102l-snap-gene-50.21-mRNA-1"
"10713","smyd1b","maker-ptg000349l-snap-gene-6.155-mRNA-1"
"10714","sprb","maker-ptg002090l-augustus-gene-33.53-mRNA-1"
"10715","LOC110439840","maker-ptg000349l-augustus-gene-6.75-mRNA-1"
"10716","lzts3b","maker-ptg000349l-snap-gene-6.186-mRNA-1"
"10717","ubox5","maker-ptg000349l-snap-gene-5.16-mRNA-1"
"10720","ccl27a","maker-ptg000349l-augustus-gene-5.24-mRNA-1"
"10721","slc35d2","maker-ptg000826l-snap-gene-0.126-mRNA-1"
"10722","znf367","maker-ptg000826l-augustus-gene-0.39-mRNA-1"
"10723","zgc_103482","maker-ptg000826l-augustus-gene-0.48-mRNA-1"
"10724","cdc14b","maker-ptg000826l-snap-gene-0.100-mRNA-1"
"10725","prxl2c","snap_masked-ptg000826l-processed-gene-0.75-mRNA-1"
"10726","fbxl17","maker-ptg000826l-snap-gene-0.118-mRNA-1"
"10727","efna5b","snap_masked-ptg000534l-processed-gene-4.153-mRNA-1"
"10730","dgcr6","maker-ptg001344l-augustus-gene-4.46-mRNA-1"
"10731","rasal1","maker-ptg001344l-augustus-gene-3.12-mRNA-1"
"10733","dtx1","maker-ptg001344l-augustus-gene-4.50-mRNA-1"
"10737","snap29","maker-ptg000016l-augustus-gene-49.35-mRNA-1"
"10738","si_dkey-178e17.3","maker-ptg000016l-snap-gene-49.7-mRNA-1"
"10742","slc25a1b","maker-ptg000016l-snap-gene-49.14-mRNA-1"
"10751","plat","maker-ptg000016l-snap-gene-51.105-mRNA-1"
"10755","ikbkb","maker-ptg000016l-augustus-gene-51.37-mRNA-1"
"10758","polb","maker-ptg000016l-augustus-gene-51.41-mRNA-1"
"10760","dynll1","maker-ptg000016l-augustus-gene-51.54-mRNA-1"
"10761","rpl6","maker-ptg000016l-augustus-gene-51.64-mRNA-1"
"10762","acaa2","maker-ptg000016l-snap-gene-51.117-mRNA-1"
"10763","mrpl40","maker-ptg000016l-augustus-gene-34.25-mRNA-1"
"10764","si_ch211-51h9.6","maker-ptg000016l-snap-gene-35.12-mRNA-1"
"10765","gle1","maker-ptg000145l-augustus-gene-2.239-mRNA-1"
"10766","sptan1","maker-ptg000145l-snap-gene-2.71-mRNA-1"
"10768","si_ch211-51h9.7","maker-ptg000145l-augustus-gene-2.217-mRNA-1"
"10769","seta","maker-ptg000145l-snap-gene-2.20-mRNA-1"
"10771","pkn3","maker-ptg000145l-snap-gene-2.50-mRNA-1"
"10774","zdhhc12b","maker-ptg000145l-snap-gene-2.0-mRNA-1"
"10775","slc25a25a","maker-ptg000145l-snap-gene-2.6-mRNA-1"
"10776","naif1","maker-ptg000145l-augustus-gene-2.208-mRNA-1"
"10780","sh3glb2a","maker-ptg000145l-snap-gene-2.39-mRNA-1"
"10782","LOC100535208","maker-ptg000102l-augustus-gene-62.4-mRNA-1"
"10783","si_dkey-220k22.3","maker-ptg001180l-snap-gene-11.2-mRNA-1"
"10786","ppp6c","maker-ptg000867l-augustus-gene-0.0-mRNA-1"
"10787","crb2b","maker-ptg001021l-snap-gene-2.148-mRNA-1"
"10788","scai","maker-ptg000867l-augustus-gene-0.4-mRNA-1"
"10789","golga1","maker-ptg000867l-snap-gene-0.33-mRNA-1"
"10791","rpl35","maker-ptg000867l-snap-gene-0.39-mRNA-1"
"10797","gcn1","maker-ptg000012l-snap-gene-5.2-mRNA-1"
"10799","rab35b","maker-ptg000904l-augustus-gene-5.213-mRNA-1"
"10801","bicdl1","maker-ptg000012l-snap-gene-5.61-mRNA-1"
"10805","LOC137496325","maker-ptg000012l-augustus-gene-5.193-mRNA-1"
"10806","eif4e1b","snap_masked-ptg000012l-processed-gene-5.150-mRNA-1"
"10807","LOC100333880","maker-ptg000012l-augustus-gene-5.167-mRNA-1"
"10809","mtmr3","maker-ptg000012l-snap-gene-5.64-mRNA-1"
"10811","cux2b","maker-ptg000012l-augustus-gene-5.204-mRNA-1"
"10814","pptc7a","maker-ptg000474l-snap-gene-6.33-mRNA-1"
"10815","rad9b","maker-ptg000474l-augustus-gene-6.102-mRNA-1"
"10816","srrd","maker-ptg000016l-snap-gene-32.0-mRNA-1"
"10817","si_ch211-166a6.5","maker-ptg000016l-snap-gene-32.5-mRNA-1"
"10818","dhx37","maker-ptg000016l-snap-gene-32.10-mRNA-1"
"10820","gp1bb","maker-ptg000016l-est_gff_est2genome-gene-33.0-mRNA-1"
"10821","septin5a","maker-ptg000016l-augustus-gene-33.5-mRNA-1"
"10822","zgc_63587","snap_masked-ptg000016l-processed-gene-33.4-mRNA-1"
"10824","cdc45","maker-ptg000016l-snap-gene-34.6-mRNA-1"
"10825","ufd1l","maker-ptg000016l-augustus-gene-34.13-mRNA-1"
"10826","ciao1","maker-ptg000817l-snap-gene-5.82-mRNA-1"
"10828","tmem127","maker-ptg000817l-snap-gene-5.61-mRNA-1"
"10831","igsf9b","maker-ptg001378l-snap-gene-29.14-mRNA-1"
"10833","adra1aa","maker-ptg001378l-augustus-gene-29.116-mRNA-1"
"10834","dpysl2a","maker-ptg001378l-snap-gene-29.26-mRNA-1"
"10837","LOC100333709","snap_masked-ptg001788l-processed-gene-2.18-mRNA-1"
"10838","vsig8b","maker-ptg001581l-augustus-gene-0.105-mRNA-1"
"10839","lrrtm4l2","snap_masked-ptg001581l-processed-gene-0.83-mRNA-1"
"10841","dock5","maker-ptg001581l-snap-gene-0.29-mRNA-1"
"10844","asb6","maker-ptg000552l-augustus-gene-3.37-mRNA-1"
"10845","wdr13","snap_masked-ptg001236l-processed-gene-19.38-mRNA-1"
"10846","asic1a","maker-ptg001004l-snap-gene-4.199-mRNA-1"
"10847","gpd1a","maker-ptg001004l-snap-gene-4.187-mRNA-1"
"10848","si_ch73-233m11.2","maker-ptg001004l-snap-gene-1.12-mRNA-1"
"10850","abtb1","maker-ptg001004l-augustus-gene-4.60-mRNA-1"
"10851","slc6a6a","maker-ptg001004l-snap-gene-4.176-mRNA-1"
"10853","ssuh2rs1","maker-ptg000034l-augustus-gene-5.109-mRNA-1"
"10854","cenpa","maker-ptg000091l-snap-gene-2.76-mRNA-1"
"10855","selenoh","maker-ptg000574l-snap-gene-3.35-mRNA-1"
"10856","pcsk1nl","maker-ptg000626l-augustus-gene-0.5-mRNA-1"
"10857","lhfpl4b","maker-ptg000626l-snap-gene-3.77-mRNA-1"
"10858","hdac6","maker-ptg000626l-augustus-gene-3.27-mRNA-1"
"10860","gata1a","maker-ptg000626l-snap-gene-3.92-mRNA-1"
"10861","cdk20","maker-ptg000626l-augustus-gene-3.45-mRNA-1"
"10862","hcfc1b","maker-ptg000626l-snap-gene-3.105-mRNA-1"
"10863","irak1","maker-ptg000626l-augustus-gene-3.59-mRNA-1"
"10864","mecp2","maker-ptg000626l-snap-gene-3.115-mRNA-1"
"10865","LOC564674","snap_masked-ptg000626l-processed-gene-2.28-mRNA-1"
"10866","fgd1","maker-ptg000626l-snap-gene-2.16-mRNA-1"
"10867","tfe3a","maker-ptg000626l-snap-gene-2.20-mRNA-1"
"10868","zgc_113363","maker-ptg000626l-snap-gene-3.117-mRNA-1"
"10870","cxxc1a","maker-ptg000626l-augustus-gene-3.22-mRNA-1"
"10871","mbd1a","maker-ptg000626l-snap-gene-4.43-mRNA-1"
"10873","ccdc120a","maker-ptg000626l-snap-gene-4.48-mRNA-1"
"10874","abcd1","maker-ptg000626l-snap-gene-4.54-mRNA-1"
"10875","plxnb3","maker-ptg000626l-snap-gene-5.57-mRNA-1"
"10876","srpk3","maker-ptg000626l-augustus-gene-5.28-mRNA-1"
"10877","tsr2","maker-ptg000626l-snap-gene-5.68-mRNA-1"
"10878","cdk16","maker-ptg000626l-snap-gene-5.75-mRNA-1"
"10880","comta","maker-ptg000626l-augustus-gene-6.18-mRNA-1"
"10881","abt1","snap_masked-ptg000626l-processed-gene-6.32-mRNA-1"
"10883","grm6a","snap_masked-ptg000626l-processed-gene-6.31-mRNA-1"
"10884","usp11","maker-ptg000626l-snap-gene-7.35-mRNA-1"
"10887","uxt","maker-ptg000626l-augustus-gene-7.9-mRNA-1"
"10888","elk1","maker-ptg000626l-snap-gene-7.44-mRNA-1"
"10890","si_ch211-180f4.1","snap_masked-ptg000626l-processed-gene-7.25-mRNA-1"
"10892","otud5a","maker-ptg000626l-snap-gene-11.69-mRNA-1"
"10893","pim2","maker-ptg000626l-augustus-gene-11.35-mRNA-1"
"10895","slc35a2","snap_masked-ptg000626l-processed-gene-11.4-mRNA-1"
"10896","bcap31","maker-ptg000626l-snap-gene-11.77-mRNA-1"
"10897","slc6a8","maker-ptg000626l-snap-gene-9.2-mRNA-1"
"10898","LOC110439066","maker-ptg000626l-est_gff_est2genome-gene-9.8-mRNA-1"
"10899","pnck","maker-ptg000626l-augustus-gene-11.44-mRNA-1"
"10900","plxna3","maker-ptg000626l-snap-gene-10.0-mRNA-1"
"10903","ptpn18","maker-ptg000626l-snap-gene-11.109-mRNA-1"
"10905","mon1bb","maker-ptg000626l-augustus-gene-11.46-mRNA-1"
"10906","gripap1","maker-ptg000626l-snap-gene-11.93-mRNA-1"
"10908","LOC101883539","maker-ptg001004l-augustus-gene-9.12-mRNA-1"
"10909","si_dkey-8e10.3","maker-ptg001004l-augustus-gene-9.10-mRNA-1"
"10911","tbc1d22b","maker-ptg001004l-snap-gene-8.11-mRNA-1"
"10912","tafa5l","maker-ptg001004l-augustus-gene-7.13-mRNA-1"
"10914","mapk13","maker-ptg000442l-augustus-gene-22.11-mRNA-1"
"10915","brpf3b","maker-ptg000442l-snap-gene-22.32-mRNA-1"
"10916","nr1h5","maker-ptg000442l-augustus-gene-23.0-mRNA-1"
"10919","slc66a1","maker-ptg000442l-snap-gene-23.29-mRNA-1"
"10920","trim33","maker-ptg000442l-snap-gene-23.27-mRNA-1"
"10922","trim33l","maker-ptg000442l-snap-gene-23.26-mRNA-1"
"10923","dennd2c","maker-ptg000442l-augustus-gene-24.22-mRNA-1"
"10925","ampd1","maker-ptg000442l-augustus-gene-24.33-mRNA-1"
"10927","asb13b","maker-ptg000894l-est_gff_est2genome-gene-3.53-mRNA-1"
"10928","plekha2","maker-ptg001427l-augustus-gene-15.67-mRNA-1"
"10929","tasor2","snap_masked-ptg000863l-processed-gene-11.54-mRNA-1"
"10930","unc45b","maker-ptg001378l-augustus-gene-11.51-mRNA-1"
"10931","pip5k1bb","maker-ptg001378l-snap-gene-11.14-mRNA-1"
"10932","fxn","maker-ptg001378l-snap-gene-11.21-mRNA-1"
"10936","ift81","maker-ptg001368l-augustus-gene-0.13-mRNA-1"
"10937","atp2a2a","maker-ptg000474l-snap-gene-6.56-mRNA-1"
"10938","anapc7","maker-ptg000474l-snap-gene-6.39-mRNA-1"
"10939","rapgef1a","maker-ptg000080l-snap-gene-7.96-mRNA-1"
"10940","med27","maker-ptg000393l-snap-gene-6.3-mRNA-1"
"10942","ntng1a","maker-ptg000575l-augustus-gene-33.235-mRNA-1"
"10943","endog","maker-ptg000016l-augustus-gene-14.0-mRNA-1"
"10945","phf19","maker-ptg000016l-snap-gene-8.15-mRNA-1"
"10946","traf1","maker-ptg000016l-augustus-gene-8.1-mRNA-1"
"10947","fibcd1a","maker-ptg000016l-augustus-gene-8.0-mRNA-1"
"10948","slc2a6","maker-ptg000016l-augustus-gene-2.27-mRNA-1"
"10949","kif2a","maker-ptg000826l-augustus-gene-0.58-mRNA-1"
"10951","LOC792944","maker-ptg000237l-augustus-gene-6.4-mRNA-1"
"10952","dennd2da","maker-ptg001587l-snap-gene-3.7-mRNA-1"
"10954","sap30bp","maker-ptg001495l-augustus-gene-1.194-mRNA-1"
"10955","itgb4","maker-ptg001495l-snap-gene-1.87-mRNA-1"
"10956","zgc_194990","maker-ptg000046l-augustus-gene-15.58-mRNA-1"
"10957","si_ch73-61d6.3","maker-ptg001516l-snap-gene-2.17-mRNA-1"
"10958","kcnn1b","maker-ptg000852l-snap-gene-40.98-mRNA-1"
"10960","ccdc124","maker-ptg001516l-snap-gene-2.22-mRNA-1"
"10962","jak3","snap_masked-ptg001516l-processed-gene-1.10-mRNA-1"
"10967","cabp4","maker-ptg000021l-snap-gene-34.19-mRNA-1"
"10969","serping1","maker-ptg000707l-augustus-gene-6.7-mRNA-1"
"10970","igf3","maker-ptg000237l-augustus-gene-7.31-mRNA-1"
"10971","si_dkeyp-110g5.4","maker-ptg000237l-augustus-gene-7.32-mRNA-1"
"10976","bgna","maker-ptg000135l-augustus-gene-79.35-mRNA-1"
"10978","tpk2","maker-ptg000500l-augustus-gene-1.29-mRNA-1"
"10981","def6a","snap_masked-ptg000237l-processed-gene-5.125-mRNA-1"
"10982","sin3b","maker-ptg001093l-augustus-gene-2.36-mRNA-1"
"10983","xpr1a","maker-ptg000175l-augustus-gene-23.76-mRNA-1"
"10985","acbd6","maker-ptg000175l-snap-gene-22.21-mRNA-1"
"10988","qsox1","maker-ptg000175l-augustus-gene-21.14-mRNA-1"
"10992","cacna1e","maker-ptg000175l-snap-gene-20.31-mRNA-1"
"11001","lrrc7","maker-ptg000175l-augustus-gene-15.16-mRNA-1"
"11002","lrrc40","snap_masked-ptg000175l-processed-gene-14.19-mRNA-1"
"11004","soat1","maker-ptg000057l-snap-gene-47.51-mRNA-1"
"11006","srsf11","maker-ptg000175l-augustus-gene-14.8-mRNA-1"
"11007","ankrd13c","maker-ptg000175l-snap-gene-14.31-mRNA-1"
"11008","cth","maker-ptg000175l-snap-gene-13.26-mRNA-1"
"11010","abl2","maker-ptg000057l-snap-gene-47.62-mRNA-1"
"11011","ptger3","maker-ptg000175l-snap-gene-12.5-mRNA-1"
"11014","zranb2","maker-ptg000175l-snap-gene-12.2-mRNA-1"
"11015","si_dkey-246j7.1","maker-ptg000175l-est_gff_est2genome-gene-13.16-mRNA-1"
"11021","fnbp1l","maker-ptg000175l-snap-gene-8.2-mRNA-1"
"11022","bcar3","maker-ptg000175l-augustus-gene-7.85-mRNA-1"
"11025","bcar3","maker-ptg000175l-snap-gene-7.0-mRNA-1"
"11029","slc5a9","maker-ptg000175l-augustus-gene-7.91-mRNA-1"
"11030","gclm","maker-ptg000175l-snap-gene-6.25-mRNA-1"
"11032","dnttip2","maker-ptg000175l-augustus-gene-6.57-mRNA-1"
"11033","spata6","maker-ptg000175l-augustus-gene-6.47-mRNA-1"
"11037","bend5","maker-ptg000175l-augustus-gene-5.0-mRNA-1"
"11040","agbl4","maker-ptg000175l-snap-gene-6.3-mRNA-1"
"11046","dmrta2","maker-ptg000175l-snap-gene-0.22-mRNA-1"
"11047","faf1","maker-ptg000737l-snap-gene-21.37-mRNA-1"
"11048","cdkn2c","maker-ptg000057l-snap-gene-47.104-mRNA-1"
"11052","ttc39a","maker-ptg000057l-augustus-gene-47.44-mRNA-1"
"11053","eps15","maker-ptg000057l-snap-gene-47.91-mRNA-1"
"11054","calr","maker-ptg000057l-augustus-gene-47.38-mRNA-1"
"11055","tor3a","maker-ptg000057l-snap-gene-47.87-mRNA-1"
"11056","osbpl9","maker-ptg000057l-snap-gene-47.72-mRNA-1"
"11057","si_ch211-198n5.11","maker-ptg000175l-snap-gene-16.13-mRNA-1"
"11060","depdc1a","maker-ptg000175l-snap-gene-16.1-mRNA-1"
"11061","smim15","snap_masked-ptg000349l-processed-gene-0.8-mRNA-1"
"11062","ndufaf2","snap_masked-ptg000349l-processed-gene-4.12-mRNA-1"
"11063","ercc8","maker-ptg000349l-augustus-gene-0.18-mRNA-1"
"11064","elovl7a","maker-ptg000349l-augustus-gene-1.9-mRNA-1"
"11071","rab3c","maker-ptg000349l-snap-gene-4.43-mRNA-1"
"11073","si_dkey-190g11.3","maker-ptg000349l-augustus-gene-6.27-mRNA-1"
"11076","mier3b","maker-ptg000349l-snap-gene-6.132-mRNA-1"
"11077","pdxp","maker-ptg000349l-snap-gene-6.144-mRNA-1"
"11079","kgd4","maker-ptg000349l-snap-gene-5.6-mRNA-1"
"11080","cenph","maker-ptg000349l-snap-gene-6.145-mRNA-1"
"11081","pola2","maker-ptg002443l-augustus-gene-16.24-mRNA-1"
"11082","dimt1l","maker-ptg000826l-augustus-gene-0.42-mRNA-1"
"11085","prkcz","maker-ptg002165l-augustus-gene-11.60-mRNA-1"
"11087","si_ch211-150o23.2","maker-ptg000135l-snap-gene-78.49-mRNA-1"
"11089","slc44a5b","maker-ptg000965l-snap-gene-4.252-mRNA-1"
"11091","lhx8a","maker-ptg000965l-augustus-gene-3.0-mRNA-1"
"11092","erich3","maker-ptg000965l-snap-gene-4.229-mRNA-1"
"11093","tnni3k","maker-ptg000965l-snap-gene-2.39-mRNA-1"
"11094","fpgt","maker-ptg000442l-augustus-gene-14.17-mRNA-1"
"11096","acot11b","maker-ptg000965l-snap-gene-2.26-mRNA-1"
"11097","ssbp3b","maker-ptg000965l-snap-gene-4.223-mRNA-1"
"11101","rps8b","maker-ptg000965l-snap-gene-0.16-mRNA-1"
"11104","mutyh","maker-ptg000484l-augustus-gene-7.33-mRNA-1"
"11105","guk1b","maker-ptg000484l-augustus-gene-5.10-mRNA-1"
"11108","dmap1","maker-ptg000484l-snap-gene-7.21-mRNA-1"
"11110","zgc_153738","snap_masked-ptg000484l-processed-gene-5.57-mRNA-1"
"11112","mindy4","maker-ptg000484l-snap-gene-7.17-mRNA-1"
"11114","tab3","maker-ptg001524l-snap-gene-5.51-mRNA-1"
"11115","tmem47","maker-ptg001524l-augustus-gene-3.4-mRNA-1"
"11116","prrg1","maker-ptg000465l-snap-gene-13.21-mRNA-1"
"11117","cpox","maker-ptg000149l-augustus-gene-2.104-mRNA-1"
"11118","ccdc181","maker-ptg000149l-augustus-gene-2.55-mRNA-1"
"11119","fsd1","maker-ptg001326l-snap-gene-1.28-mRNA-1"
"11122","stap2a","maker-ptg000852l-augustus-gene-0.6-mRNA-1"
"11124","mpnd","maker-ptg001326l-snap-gene-1.9-mRNA-1"
"11126","rorca","maker-ptg001326l-snap-gene-3.103-mRNA-1"
"11127","sema6bb","maker-ptg001326l-snap-gene-3.101-mRNA-1"
"11128","abhd17ab","maker-ptg001643l-snap-gene-2.77-mRNA-1"
"11134","mpeg1.2","maker-ptg000173l-snap-gene-7.3-mRNA-1"
"11138","npl","maker-ptg001978l-snap-gene-0.18-mRNA-1"
"11139","sec22bb","maker-ptg001978l-augustus-gene-0.47-mRNA-1"
"11142","fam78bb","maker-ptg001978l-augustus-gene-0.59-mRNA-1"
"11145","foxd2","snap_masked-ptg001867l-processed-gene-0.4-mRNA-1"
"11147","lpxn","maker-ptg000731l-snap-gene-2.199-mRNA-1"
"11149","znf692","maker-ptg000731l-snap-gene-0.32-mRNA-1"
"11154","mllt1a","maker-ptg000731l-snap-gene-2.214-mRNA-1"
"11155","acer1","maker-ptg000731l-augustus-gene-2.81-mRNA-1"
"11156","myo1f","maker-ptg000731l-augustus-gene-2.84-mRNA-1"
"11157","adamts10","maker-ptg000731l-snap-gene-2.236-mRNA-1"
"11159","zap70","maker-ptg000731l-augustus-gene-2.42-mRNA-1"
"11163","rexo1","maker-ptg000731l-snap-gene-2.186-mRNA-1"
"11165","dmbx2","maker-ptg000731l-augustus-gene-2.60-mRNA-1"
"11167","csnk1g2a","maker-ptg000731l-snap-gene-2.193-mRNA-1"
"11168","mfsd12b","maker-ptg001550l-snap-gene-0.0-mRNA-1"
"11170","nfic","maker-ptg001594l-augustus-gene-10.73-mRNA-1"
"11174","dohh","maker-ptg001594l-snap-gene-10.27-mRNA-1"
"11176","fzr1a","maker-ptg001093l-augustus-gene-2.34-mRNA-1"
"11180","aldh9a1a.2","maker-ptg000744l-snap-gene-3.43-mRNA-1"
"11181","tmco1","maker-ptg000744l-augustus-gene-3.147-mRNA-1"
"11182","uck2a","maker-ptg000737l-snap-gene-13.15-mRNA-1"
"11183","magoh","maker-ptg000744l-augustus-gene-3.181-mRNA-1"
"11185","porcn","maker-ptg001236l-snap-gene-19.64-mRNA-1"
"11186","spryd4","maker-ptg001004l-augustus-gene-2.9-mRNA-1"
"11187","gls2a","maker-ptg000299l-snap-gene-6.20-mRNA-1"
"11188","col2a1a","maker-ptg001004l-snap-gene-2.19-mRNA-1"
